npieces: 10000
capacity: 2735220734
1 847497 489828 
2 142181 598013 
3 972531 850847 
4 655611 356468 
5 27116 804961 
6 125504 966954 
7 710668 160394 
8 913058 933924 
9 472233 890010 
10 523145 989211 
11 579994 644096 
12 755050 547604 
13 661718 282177 
14 986489 714013 
15 38202 579265 
16 566331 844581 
17 84201 645618 
18 782201 945017 
19 258445 33174 
20 830864 269847 
21 656764 250866 
22 286822 645488 
23 247095 963985 
24 533239 53695 
25 515724 659377 
26 704333 674433 
27 522395 45007 
28 527182 153168 
29 966645 220682 
30 305647 748256 
31 203360 310326 
32 329415 706580 
33 339959 134848 
34 770622 85182 
35 894254 317113 
36 440356 402738 
37 26228 117953 
38 978910 157253 
39 93745 220753 
40 647802 396711 
41 105903 585828 
42 997220 665626 
43 654612 553987 
44 401778 825806 
45 704589 426412 
46 222938 67739 
47 789255 163358 
48 12291 527194 
49 272471 935940 
50 66808 444321 
51 330426 301883 
52 187257 800537 
53 851574 584770 
54 987500 403261 
55 852831 729213 
56 138673 931248 
57 846901 483174 
58 364051 533947 
59 722411 974289 
60 435674 873379 
61 740163 593177 
62 19901 203875 
63 937364 899564 
64 653172 125003 
65 909933 898352 
66 259756 623477 
67 6100 153297 
68 156948 378975 
69 258407 207529 
70 152980 831722 
71 805604 623498 
72 682782 287150 
73 644036 61547 
74 833564 856440 
75 638977 841004 
76 713609 798433 
77 764921 866439 
78 742300 60044 
79 525355 41109 
80 676766 80571 
81 377630 810746 
82 219805 305998 
83 644320 787695 
84 939961 220698 
85 883372 857194 
86 774491 975778 
87 911461 976364 
88 682694 374325 
89 865663 795815 
90 926405 735972 
91 131517 338569 
92 417412 397405 
93 826388 189097 
94 111995 863400 
95 411695 325581 
96 923461 762558 
97 290252 377750 
98 700495 280193 
99 299907 896521 
100 115563 236125 
101 298855 4090 
102 268804 963961 
103 798917 576727 
104 829804 640921 
105 656138 900558 
106 868882 536595 
107 625857 864412 
108 192143 291243 
109 214713 153139 
110 15455 796814 
111 641156 696455 
112 312813 707816 
113 93916 723254 
114 599686 868450 
