npieces: 2000
capacity: 10011
1 482 485 
2 257 326 
3 286 248 
4 517 421 
5 404 322 
6 713 795 
7 45 43 
8 924 845 
9 873 955 
10 160 252 
11 1 9 
12 838 901 
13 40 122 
14 58 94 
15 676 738 
16 627 574 
17 766 715 
18 862 882 
19 405 367 
20 923 984 
21 379 299 
22 461 433 
23 612 682 
24 133 72 
25 813 874 
26 97 138 
27 908 856 
28 165 145 
29 996 995 
30 623 529 
31 220 199 
32 298 277 
33 157 97 
34 723 719 
35 144 242 
36 48 107 
37 129 122 
38 148 70 
39 35 98 
40 644 600 
41 632 645 
42 272 267 
43 1040 972 
44 977 895 
45 312 213 
46 778 748 
47 567 487 
48 965 923 
49 1 29 
50 616 674 
51 569 540 
52 628 554 
53 493 467 
54 76 46 
55 733 710 
56 575 553 
57 288 191 
58 775 724 
59 723 730 
60 912 988 
61 64 90 
62 354 340 
63 565 549 
64 210 196 
65 922 865 
66 775 678 
67 566 570 
68 934 936 
69 626 722 
70 742 651 
71 194 123 
72 485 431 
73 483 508 
74 617 585 
75 876 853 
76 653 642 
77 896 992 
78 652 725 
79 220 286 
80 727 812 
81 900 859 
82 563 663 
83 56 88 
84 157 179 
85 280 187 
86 537 619 
87 284 261 
88 920 846 
89 124 192 
90 239 261 
91 459 514 
92 931 886 
93 504 530 
94 910 849 
95 382 294 
96 795 799 
97 485 391 
98 351 330 
99 289 298 
100 865 790 
101 250 275 
102 738 826 
103 75 72 
104 788 866 
105 947 951 
106 651 748 
107 595 685 
108 993 956 
109 663 564 
110 265 183 
111 338 400 
112 637 721 
113 206 207 
114 328 323 
115 618 611 
116 64 116 
117 139 109 
118 806 795 
119 412 343 
120 912 862 
121 715 685 
122 1 10 
123 929 881 
124 1025 984 
125 410 403 
126 273 360 
127 507 449 
128 450 541 
129 174 272 
130 882 877 
131 427 359 
132 787 707 
133 355 308 
134 734 770 
135 1 30 
136 248 208 
137 397 311 
138 159 100 
139 874 939 
140 449 422 
141 857 785 
142 286 370 
143 976 989 
144 908 969 
145 103 143 
146 1071 972 
147 1 28 
148 117 61 
149 697 638 
150 424 348 
151 439 347 
152 74 66 
153 442 391 
154 568 638 
155 195 295 
156 854 826 
157 281 196 
158 433 449 
159 845 855 
160 224 143 
161 487 487 
162 181 140 
163 496 564 
164 690 615 
165 124 135 
166 575 564 
167 374 360 
168 766 793 
169 149 163 
170 776 859 
171 793 760 
172 674 711 
173 696 662 
174 90 159 
175 732 660 
176 214 268 
177 935 948 
178 228 315 
179 619 676 
180 349 341 
181 734 689 
182 964 894 
183 644 706 
184 484 490 
185 491 478 
186 628 671 
187 1009 932 
188 944 899 
189 315 237 
190 92 187 
191 554 472 
192 757 772 
193 88 98 
194 952 906 
195 818 911 
196 628 635 
197 316 225 
198 818 823 
199 255 164 
200 432 343 
201 763 732 
202 490 502 
203 721 740 
204 587 576 
205 530 612 
206 992 902 
207 491 454 
208 343 411 
209 880 973 
210 645 703 
211 761 850 
212 152 77 
213 241 220 
214 727 802 
215 352 403 
216 246 181 
217 1 10 
