npieces: 2000
capacity: 971982
1 1000 900 
2 800 720 
3 960 760 
4 384 304 
5 192 152 
6 200 180 
7 960 760 
8 864 684 
9 600 540 
10 1400 1260 
11 200 180 
12 800 720 
13 768 608 
14 192 152 
15 600 540 
16 480 380 
17 200 180 
18 192 152 
19 96 76 
20 384 304 
21 672 532 
22 768 608 
23 960 760 
24 96 76 
25 1600 1440 
26 672 532 
27 96 76 
28 480 380 
29 768 608 
30 288 228 
31 288 228 
32 400 360 
33 2000 1800 
34 600 540 
35 400 360 
36 1000 900 
37 288 228 
38 600 540 
39 200 180 
40 600 540 
41 672 532 
42 864 684 
43 200 180 
44 96 76 
45 1200 1080 
46 960 760 
47 960 760 
48 864 684 
49 960 760 
50 1400 1260 
51 288 228 
52 1800 1620 
53 768 608 
54 400 360 
55 192 152 
56 768 608 
57 96 76 
58 480 380 
59 480 380 
60 1800 1620 
61 2000 1800 
62 800 720 
63 864 684 
64 768 608 
65 1000 900 
66 600 540 
67 1000 900 
68 200 180 
69 576 456 
70 672 532 
71 1800 1620 
72 600 540 
73 600 540 
74 400 360 
75 960 760 
76 400 360 
77 576 456 
78 576 456 
79 1400 1260 
80 576 456 
81 288 228 
82 96 76 
83 800 720 
84 2000 1800 
85 1400 1260 
86 1200 1080 
87 288 228 
88 1800 1620 
89 600 540 
90 96 76 
91 200 180 
92 960 760 
93 960 760 
94 1400 1260 
95 576 456 
96 2000 1800 
97 1800 1620 
98 768 608 
99 1000 900 
100 800 720 
101 96 76 
102 288 228 
103 1400 1260 
104 96 76 
105 384 304 
106 192 152 
107 1000 900 
108 1800 1620 
109 768 608 
110 480 380 
111 576 456 
112 1600 1440 
113 1200 1080 
114 1200 1080 
115 672 532 
116 672 532 
117 1400 1260 
118 1200 1080 
119 672 532 
120 384 304 
121 1200 1080 
122 672 532 
123 768 608 
124 480 380 
125 96 76 
126 576 456 
127 1800 1620 
128 96 76 
129 864 684 
130 192 152 
131 480 380 
132 1400 1260 
133 600 540 
134 480 380 
135 1800 1620 
136 1400 1260 
137 1000 900 
138 192 152 
139 96 76 
140 288 228 
141 2000 1800 
142 672 532 
143 384 304 
144 480 380 
145 960 760 
146 288 228 
147 1600 1440 
148 192 152 
149 480 380 
150 960 760 
151 864 684 
152 800 720 
153 96 76 
154 288 228 
155 1000 900 
156 192 152 
157 480 380 
158 1200 1080 
159 1600 1440 
160 384 304 
161 576 456 
162 2000 1800 
163 400 360 
164 1200 1080 
165 1200 1080 
166 96 76 
167 1000 900 
168 1000 900 
169 480 380 
170 288 228 
171 1200 1080 
172 2000 1800 
173 480 380 
174 400 360 
175 800 720 
176 1600 1440 
177 200 180 
178 400 360 
179 192 152 
180 576 456 
181 288 228 
182 1400 1260 
183 1200 1080 
184 1000 900 
185 1400 1260 
186 600 540 
187 800 720 
188 192 152 
189 400 360 
190 200 180 
191 200 180 
192 864 684 
193 1800 1620 
194 576 456 
