npieces: 2000
capacity: 244284
1 531 351 
2 354 234 
3 242 202 
4 242 202 
5 242 202 
6 177 117 
7 242 202 
8 1089 909 
9 531 351 
10 295 195 
11 59 39 
12 354 234 
13 968 808 
14 1210 1010 
15 531 351 
16 605 505 
17 177 117 
18 242 202 
19 1089 909 
20 968 808 
21 363 303 
22 1210 1010 
23 968 808 
24 1089 909 
25 236 156 
26 605 505 
27 847 707 
28 121 101 
29 1210 1010 
30 605 505 
31 363 303 
32 354 234 
33 590 390 
34 531 351 
35 118 78 
36 295 195 
37 1089 909 
38 531 351 
39 59 39 
40 295 195 
41 1089 909 
42 605 505 
43 531 351 
44 121 101 
45 118 78 
46 726 606 
47 484 404 
48 363 303 
49 484 404 
50 59 39 
51 847 707 
52 295 195 
53 242 202 
54 118 78 
55 968 808 
56 968 808 
57 605 505 
58 605 505 
59 121 101 
60 531 351 
61 236 156 
62 354 234 
63 605 505 
64 484 404 
65 59 39 
66 413 273 
67 531 351 
68 413 273 
69 1210 1010 
70 363 303 
71 531 351 
72 531 351 
73 531 351 
74 472 312 
75 484 404 
76 472 312 
77 484 404 
78 484 404 
79 413 273 
80 726 606 
81 1089 909 
82 121 101 
83 590 390 
84 472 312 
85 413 273 
86 236 156 
87 605 505 
88 531 351 
89 177 117 
90 605 505 
91 59 39 
92 484 404 
93 484 404 
94 295 195 
95 242 202 
96 354 234 
97 295 195 
98 726 606 
99 295 195 
100 354 234 
101 121 101 
102 121 101 
103 59 39 
104 1089 909 
105 726 606 
106 484 404 
107 59 39 
108 177 117 
109 726 606 
110 363 303 
111 726 606 
112 236 156 
113 590 390 
114 236 156 
115 363 303 
116 363 303 
117 177 117 
118 118 78 
119 1089 909 
120 726 606 
121 236 156 
122 363 303 
123 484 404 
124 1089 909 
125 605 505 
126 726 606 
127 413 273 
128 121 101 
129 363 303 
130 1210 1010 
131 605 505 
132 59 39 
133 59 39 
134 1089 909 
135 177 117 
136 531 351 
137 177 117 
138 484 404 
139 605 505 
140 121 101 
141 118 78 
142 363 303 
143 484 404 
144 121 101 
145 1210 1010 
146 1089 909 
147 354 234 
148 726 606 
149 1089 909 
150 968 808 
151 847 707 
152 590 390 
153 1089 909 
154 847 707 
155 413 273 
156 1210 1010 
157 121 101 
158 472 312 
159 472 312 
160 726 606 
161 1210 1010 
162 236 156 
163 472 312 
164 354 234 
165 236 156 
166 363 303 
167 295 195 
168 295 195 
169 605 505 
170 1089 909 
171 118 78 
172 354 234 
173 605 505 
174 354 234 
175 354 234 
176 472 312 
177 413 273 
178 590 390 
179 968 808 
180 484 404 
181 1089 909 
182 295 195 
183 590 390 
184 59 39 
185 177 117 
186 531 351 
187 118 78 
188 968 808 
189 118 78 
190 59 39 
191 59 39 
192 121 101 
193 531 351 
194 726 606 
195 484 404 
196 847 707 
197 295 195 
198 531 351 
199 968 808 
200 605 505 
201 484 404 
202 242 202 
203 1210 1010 
204 472 312 
205 605 505 
206 726 606 
207 531 351 
208 531 351 
209 1210 1010 
210 847 707 
211 484 404 
212 363 303 
213 354 234 
214 605 505 
215 472 312 
216 354 234 
217 847 707 
218 847 707 
219 236 156 
220 726 606 
221 236 156 
222 177 117 
223 847 707 
224 847 707 
225 177 117 
226 484 404 
227 118 78 
228 726 606 
229 236 156 
230 363 303 
231 242 202 
232 590 390 
233 531 351 
234 363 303 
235 118 78 
236 295 195 
237 605 505 
238 968 808 
239 590 390 
240 968 808 
241 413 273 
242 531 351 
243 726 606 
244 363 303 
245 968 808 
246 363 303 
247 847 707 
248 472 312 
249 118 78 
250 354 234 
251 1210 1010 
252 118 78 
253 531 351 
254 1210 1010 
255 363 303 
256 968 808 
257 363 303 
258 413 273 
259 177 117 
260 59 39 
261 472 312 
262 121 101 
263 242 202 
264 472 312 
265 236 156 
266 1210 1010 
267 605 505 
268 968 808 
269 531 351 
270 295 195 
271 590 390 
272 605 505 
273 531 351 
274 726 606 
275 295 195 
276 118 78 
277 59 39 
278 59 39 
279 242 202 
280 242 202 
281 363 303 
282 726 606 
283 484 404 
284 59 39 
285 413 273 
286 118 78 
287 1089 909 
288 472 312 
289 590 390 
290 413 273 
291 1089 909 
292 472 312 
293 605 505 
294 847 707 
295 1210 1010 
296 726 606 
297 177 117 
298 121 101 
299 354 234 
300 295 195 
301 531 351 
302 484 404 
303 59 39 
304 295 195 
305 968 808 
306 484 404 
307 121 101 
308 968 808 
309 177 117 
310 484 404 
311 242 202 
312 1089 909 
313 59 39 
314 177 117 
315 484 404 
316 472 312 
317 354 234 
318 295 195 
319 531 351 
320 726 606 
321 363 303 
322 484 404 
323 1210 1010 
324 363 303 
325 605 505 
326 295 195 
327 968 808 
328 363 303 
329 177 117 
330 605 505 
331 295 195 
332 121 101 
333 413 273 
334 413 273 
335 413 273 
336 118 78 
337 118 78 
338 413 273 
339 118 78 
340 354 234 
341 531 351 
342 59 39 
343 295 195 
344 1089 909 
345 354 234 
346 726 606 
347 531 351 
348 605 505 
349 472 312 
350 413 273 
351 121 101 
352 177 117 
353 531 351 
354 531 351 
355 531 351 
356 363 303 
357 726 606 
358 847 707 
359 121 101 
360 484 404 
361 236 156 
362 1210 1010 
363 968 808 
364 413 273 
365 413 273 
366 59 39 
367 726 606 
368 605 505 
369 1210 1010 
370 968 808 
371 531 351 
372 1210 1010 
373 177 117 
374 118 78 
375 295 195 
376 363 303 
377 121 101 
378 121 101 
379 590 390 
380 236 156 
381 413 273 
382 968 808 
383 354 234 
384 59 39 
385 363 303 
386 484 404 
387 847 707 
388 354 234 
389 968 808 
390 605 505 
391 968 808 
392 354 234 
393 354 234 
394 118 78 
395 484 404 
396 484 404 
397 413 273 
398 847 707 
399 1210 1010 
400 531 351 
401 590 390 
402 590 390 
403 847 707 
404 354 234 
405 968 808 
406 968 808 
407 968 808 
408 354 234 
409 484 404 
410 363 303 
411 605 505 
412 531 351 
413 605 505 
414 118 78 
415 363 303 
416 968 808 
417 413 273 
418 363 303 
419 1210 1010 
420 236 156 
421 121 101 
422 847 707 
423 363 303 
424 59 39 
425 472 312 
426 1210 1010 
427 484 404 
428 413 273 
429 236 156 
430 472 312 
431 295 195 
432 531 351 
433 354 234 
434 118 78 
435 59 39 
436 354 234 
437 726 606 
438 968 808 
439 605 505 
440 726 606 
441 118 78 
442 242 202 
443 59 39 
444 236 156 
445 484 404 
446 531 351 
447 484 404 
448 1210 1010 
449 236 156 
450 59 39 
451 726 606 
452 847 707 
453 59 39 
454 1210 1010 
455 1210 1010 
456 118 78 
457 531 351 
458 472 312 
459 590 390 
460 242 202 
461 118 78 
462 472 312 
463 605 505 
464 295 195 
465 605 505 
466 726 606 
467 177 117 
468 118 78 
469 118 78 
470 605 505 
471 59 39 
472 354 234 
473 295 195 
474 236 156 
475 847 707 
476 354 234 
477 363 303 
478 847 707 
479 413 273 
480 236 156 
481 968 808 
482 1210 1010 
483 1210 1010 
484 121 101 
485 236 156 
486 118 78 
487 472 312 
488 590 390 
489 118 78 
490 118 78 
491 726 606 
492 472 312 
493 726 606 
494 177 117 
495 531 351 
496 354 234 
497 484 404 
498 59 39 
499 847 707 
500 295 195 
501 1210 1010 
502 605 505 
503 726 606 
504 472 312 
505 118 78 
506 236 156 
507 59 39 
508 531 351 
509 531 351 
510 354 234 
511 590 390 
512 413 273 
513 726 606 
514 236 156 
515 531 351 
516 177 117 
517 354 234 
518 59 39 
519 847 707 
520 1210 1010 
521 968 808 
522 968 808 
523 847 707 
524 413 273 
525 1210 1010 
526 605 505 
527 363 303 
528 354 234 
529 531 351 
530 118 78 
531 968 808 
532 295 195 
533 121 101 
534 121 101 
535 590 390 
536 1089 909 
537 177 117 
538 590 390 
539 121 101 
540 295 195 
541 236 156 
542 363 303 
543 242 202 
544 847 707 
545 472 312 
546 968 808 
547 484 404 
548 1089 909 
549 295 195 
550 590 390 
551 472 312 
552 413 273 
553 1089 909 
554 295 195 
555 118 78 
556 847 707 
557 242 202 
558 590 390 
559 59 39 
560 605 505 
561 236 156 
562 847 707 
563 531 351 
564 968 808 
565 413 273 
566 726 606 
567 1210 1010 
568 121 101 
569 59 39 
570 590 390 
571 236 156 
572 236 156 
573 531 351 
574 847 707 
575 726 606 
576 484 404 
577 177 117 
578 236 156 
579 59 39 
580 59 39 
581 847 707 
582 590 390 
583 847 707 
584 1089 909 
585 177 117 
586 726 606 
587 177 117 
588 968 808 
589 59 39 
590 413 273 
591 472 312 
592 1210 1010 
593 968 808 
594 484 404 
595 531 351 
596 242 202 
597 484 404 
598 968 808 
599 242 202 
600 1210 1010 
601 354 234 
602 1210 1010 
603 605 505 
604 472 312 
605 590 390 
606 118 78 
607 590 390 
608 531 351 
609 726 606 
610 242 202 
611 472 312 
612 605 505 
613 118 78 
614 726 606 
615 484 404 
616 363 303 
617 531 351 
618 726 606 
619 177 117 
620 1089 909 
621 363 303 
622 177 117 
623 118 78 
624 968 808 
625 363 303 
626 531 351 
627 726 606 
628 295 195 
629 484 404 
630 472 312 
631 472 312 
632 295 195 
633 413 273 
634 1210 1010 
635 484 404 
636 118 78 
637 531 351 
638 363 303 
639 59 39 
640 590 390 
641 236 156 
642 177 117 
643 590 390 
644 363 303 
645 363 303 
646 242 202 
647 590 390 
648 472 312 
649 121 101 
650 59 39 
651 121 101 
652 726 606 
653 363 303 
654 1210 1010 
655 1089 909 
656 59 39 
657 847 707 
658 354 234 
659 726 606 
660 590 390 
661 121 101 
662 531 351 
663 590 390 
664 484 404 
665 363 303 
666 59 39 
667 1089 909 
668 590 390 
669 363 303 
670 118 78 
671 59 39 
672 413 273 
673 484 404 
674 1210 1010 
675 590 390 
676 484 404 
677 1210 1010 
678 413 273 
679 847 707 
680 531 351 
681 177 117 
682 295 195 
683 59 39 
684 1089 909 
685 354 234 
686 413 273 
687 847 707 
688 118 78 
689 121 101 
690 726 606 
691 590 390 
692 484 404 
693 236 156 
694 605 505 
695 354 234 
696 472 312 
697 363 303 
698 118 78 
699 1089 909 
700 484 404 
701 472 312 
702 484 404 
703 242 202 
704 531 351 
705 59 39 
706 472 312 
707 847 707 
708 726 606 
709 242 202 
710 968 808 
711 236 156 
712 295 195 
713 484 404 
714 242 202 
715 472 312 
716 968 808 
717 968 808 
718 472 312 
719 354 234 
720 118 78 
721 847 707 
722 242 202 
723 590 390 
724 605 505 
725 1089 909 
726 59 39 
727 354 234 
728 1089 909 
729 354 234 
730 121 101 
731 531 351 
732 236 156 
733 605 505 
734 968 808 
735 295 195 
736 242 202 
737 1210 1010 
738 1210 1010 
739 531 351 
740 847 707 
741 472 312 
742 59 39 
743 968 808 
744 1210 1010 
745 472 312 
746 605 505 
747 484 404 
748 1089 909 
749 121 101 
750 726 606 
751 354 234 
752 236 156 
753 968 808 
754 236 156 
755 121 101 
756 847 707 
757 295 195 
758 472 312 
759 236 156 
760 968 808 
761 295 195 
762 484 404 
763 354 234 
764 236 156 
765 1210 1010 
766 363 303 
767 354 234 
768 59 39 
769 354 234 
770 531 351 
771 968 808 
772 59 39 
773 968 808 
774 605 505 
775 1089 909 
776 121 101 
777 968 808 
778 531 351 
779 295 195 
780 605 505 
781 295 195 
782 590 390 
783 590 390 
784 413 273 
785 242 202 
786 354 234 
787 968 808 
788 968 808 
789 177 117 
790 590 390 
791 1210 1010 
792 242 202 
793 121 101 
794 177 117 
795 118 78 
796 531 351 
797 605 505 
798 236 156 
799 968 808 
800 242 202 
801 236 156 
802 242 202 
803 242 202 
804 354 234 
805 605 505 
806 363 303 
807 413 273 
808 363 303 
809 354 234 
810 177 117 
811 605 505 
812 295 195 
813 968 808 
814 605 505 
815 242 202 
816 484 404 
817 354 234 
818 590 390 
819 177 117 
820 847 707 
821 59 39 
822 118 78 
823 1210 1010 
824 413 273 
825 531 351 
826 118 78 
827 847 707 
828 121 101 
829 236 156 
830 847 707 
831 726 606 
832 726 606 
833 1089 909 
834 484 404 
835 968 808 
836 847 707 
837 1210 1010 
838 484 404 
839 472 312 
840 177 117 
841 726 606 
842 121 101 
843 726 606 
844 413 273 
845 118 78 
846 1210 1010 
847 354 234 
848 531 351 
849 590 390 
850 484 404 
851 177 117 
852 968 808 
853 847 707 
854 847 707 
