npieces: 2000
capacity: 782110
1 212 112 
2 593 493 
3 941 841 
4 653 553 
5 703 603 
6 499 399 
7 412 312 
8 947 847 
9 561 461 
10 652 552 
11 962 862 
12 272 172 
13 218 118 
14 156 56 
15 452 352 
16 194 94 
17 546 446 
18 329 229 
19 659 559 
20 449 349 
21 568 468 
22 458 358 
23 356 256 
24 634 534 
25 785 685 
26 454 354 
27 653 553 
28 481 381 
29 161 61 
30 1082 982 
31 1005 905 
32 1075 975 
33 1074 974 
34 281 181 
35 817 717 
36 945 845 
37 110 10 
38 797 697 
39 631 531 
40 840 740 
41 786 686 
42 772 672 
43 384 284 
44 118 18 
45 841 741 
46 479 379 
47 183 83 
48 239 139 
49 929 829 
50 748 648 
51 697 597 
52 141 41 
53 567 467 
54 227 127 
55 984 884 
56 790 690 
57 682 582 
58 901 801 
59 496 396 
60 575 475 
61 894 794 
62 576 476 
63 644 544 
64 975 875 
65 720 620 
66 839 739 
67 494 394 
68 1014 914 
69 345 245 
70 918 818 
71 1026 926 
72 172 72 
73 665 565 
74 884 784 
75 173 73 
76 406 306 
77 817 717 
78 193 93 
79 815 715 
80 826 726 
81 748 648 
82 127 27 
83 474 374 
84 916 816 
85 643 543 
86 1020 920 
87 350 250 
88 1066 966 
89 1084 984 
90 709 609 
91 763 663 
92 314 214 
93 310 210 
94 855 755 
95 826 726 
96 171 71 
97 132 32 
98 543 443 
99 585 485 
100 256 156 
101 403 303 
102 202 102 
103 185 85 
104 153 53 
105 554 454 
106 1054 954 
107 685 585 
108 564 464 
109 981 881 
110 639 539 
111 768 668 
112 937 837 
113 462 362 
114 613 513 
115 387 287 
116 435 335 
117 617 517 
118 451 351 
119 299 199 
120 130 30 
121 937 837 
122 875 775 
123 651 551 
124 1021 921 
125 428 328 
126 1020 920 
127 363 263 
128 1020 920 
129 152 52 
130 1045 945 
131 109 9 
132 820 720 
133 753 653 
134 724 624 
135 615 515 
136 676 576 
137 537 437 
138 1063 963 
139 298 198 
140 556 456 
141 666 566 
142 484 384 
143 798 698 
144 734 634 
145 619 519 
146 1012 912 
147 488 388 
148 324 224 
149 916 816 
150 433 333 
151 185 85 
152 969 869 
153 1071 971 
154 513 413 
155 796 696 
156 772 672 
157 941 841 
158 131 31 
159 467 367 
160 198 98 
161 946 846 
162 614 514 
163 214 114 
164 373 273 
165 215 115 
166 992 892 
167 858 758 
168 609 509 
169 330 230 
170 500 400 
171 850 750 
172 515 415 
173 948 848 
174 253 153 
175 605 505 
176 190 90 
177 735 635 
178 455 355 
179 884 784 
180 349 249 
181 249 149 
182 1077 977 
183 429 329 
184 188 88 
185 521 421 
186 940 840 
187 432 332 
188 859 759 
189 605 505 
190 927 827 
191 734 634 
192 589 489 
193 878 778 
194 692 592 
195 833 733 
196 311 211 
197 537 437 
198 819 719 
199 701 601 
200 787 687 
201 186 86 
202 631 531 
203 689 589 
204 788 688 
205 295 195 
206 469 369 
207 953 853 
208 228 128 
209 510 410 
210 434 334 
211 339 239 
212 1058 958 
213 436 336 
214 233 133 
215 843 743 
216 151 51 
217 291 191 
218 161 61 
219 390 290 
220 711 611 
221 775 675 
222 924 824 
223 664 564 
224 421 321 
225 990 890 
226 676 576 
227 802 702 
228 470 370 
229 634 534 
230 785 685 
231 547 447 
232 712 612 
233 676 576 
234 134 34 
235 178 78 
236 836 736 
237 382 282 
238 793 693 
239 685 585 
240 366 266 
241 204 104 
242 240 140 
243 193 93 
244 309 209 
245 856 756 
246 553 453 
247 687 587 
248 390 290 
249 554 454 
250 218 118 
251 975 875 
252 331 231 
253 544 444 
254 807 707 
255 468 368 
256 177 77 
257 671 571 
258 954 854 
259 732 632 
260 575 475 
261 470 370 
262 749 649 
263 666 566 
264 938 838 
265 1051 951 
